"lumped_element_capacitance [pF]","Freq [GHz]","RadiationEfficiency []"
0.065,8,0.523675876364271
0.065,8.5,0.27611771129623
0.065,9,0.713896714331246
0.065,9.5,0.855916831877819
0.065,10,0.926680020476067
0.065,10.5,0.953195521350664
0.065,11,0.948509079659704
0.065,11.25,0.937325430011641
0.065,11.5,0.921292442148087
0.065,12,0.876741497294057
0.0722916666666667,8,0.528510955857811
0.0722916666666667,8.5,0.310911361928886
0.0722916666666667,9,0.737812426333004
0.0722916666666667,9.5,0.867018557042367
0.0722916666666667,10,0.929153836851662
0.0722916666666667,10.5,0.948007039137492
0.0722916666666667,11,0.936268565925581
0.0722916666666667,11.25,0.921712914866814
0.0722916666666667,11.5,0.902369898146707
0.0722916666666667,12,0.851290261547194
0.0795833333333333,8,0.535350014334828
0.0795833333333333,8.5,0.347619352380563
0.0795833333333333,9,0.760309047760417
0.0795833333333333,9.5,0.877080930378326
0.0795833333333333,10,0.930285751705644
0.0795833333333333,10.5,0.941446044933248
0.0795833333333333,11,0.922889720416804
0.0795833333333333,11.25,0.905139689781753
0.0795833333333333,11.5,0.88268528323948
0.0795833333333333,12,0.825491660075494
0.086875,8,0.541839738155579
0.086875,8.5,0.390705711960395
0.086875,9,0.778150178666069
0.086875,9.5,0.884372841302267
0.086875,10,0.929333649395253
0.086875,10.5,0.932885433861624
0.086875,11,0.907241971782502
0.086875,11.25,0.886087364932563
0.086875,11.5,0.86028809496816
0.086875,12,0.796513744812193
0.0941666666666667,8,0.547405603855178
0.0941666666666667,8.5,0.480703988947317
0.0941666666666667,9,0.797671954679452
0.0941666666666667,9.5,0.891312195869149
0.0941666666666667,10,0.927643487969175
0.0941666666666667,10.5,0.923791019920195
0.0941666666666667,11,0.891551182392911
0.0941666666666667,11.25,0.867294262403184
0.0941666666666667,11.5,0.838474574124401
0.0941666666666667,12,0.768807625950698
0.101458333333333,8,0.553948334313094
0.101458333333333,8.5,0.530171993068546
0.101458333333333,9,0.811094894288763
0.101458333333333,9.5,0.89460133181995
0.101458333333333,10,0.922732777681148
0.101458333333333,10.5,0.911550724065672
0.101458333333333,11,0.872705730585418
0.101458333333333,11.25,0.8453389140803
0.101458333333333,11.5,0.81350049824883
0.10875,8,0.558436411131699
0.10875,8.5,0.623459522197615
0.10875,9,0.824835470766562
0.10875,9.5,0.897673601136004
0.10875,10,0.917564207782336
0.10875,10.5,0.898998113285797
0.10875,11,0.853437355386098
0.10875,11.25,0.822896313832136
0.10875,11.5,0.787982840949441
0.10875,12,0.706636189972472
0.116041666666667,8,0.563022912090929
0.116041666666667,8.5,0.660360208115416
0.116041666666667,9,0.831131754513617
0.116041666666667,9.5,0.895149229682615
0.116041666666667,10,0.907304454986811
0.116041666666667,10.5,0.881816654439142
0.116041666666667,11,0.830074582905962
0.116041666666667,11.25,0.796652884669651
0.116041666666667,11.5,0.758976267382534
0.116041666666667,12,0.672469775400579
0.123333333333333,8,0.568520662795863
0.123333333333333,8.5,0.697921533825095
0.123333333333333,9,0.839911256536766
0.123333333333333,9.5,0.895645668961097
0.123333333333333,10,0.900111473851946
0.123333333333333,10.5,0.867587582155878
0.123333333333333,11,0.809541045549263
0.123333333333333,11.25,0.773204783388717
0.123333333333333,11.5,0.7327613139997
0.123333333333333,12,0.641203432958431
0.130625,8,0.571024585332764
0.130625,8.5,0.720958330871058
0.130625,9,0.845270340443204
0.130625,9.5,0.893144905609839
0.130625,10,0.889941076146791
0.130625,10.5,0.850391776665819
0.130625,11,0.786076779730432
0.130625,11.25,0.746864558236755
0.130625,11.5,0.703721435712303
0.130625,12,0.607404153045913
0.137916666666667,8,0.573577917507332
0.137916666666667,8.5,0.73367476295726
0.137916666666667,9,0.850705919753807
0.137916666666667,9.5,0.891330140882306
0.137916666666667,10,0.880650693110023
0.137916666666667,10.5,0.834259302121701
0.137916666666667,11,0.763946470760285
0.137916666666667,11.25,0.72205166534601
0.137916666666667,11.5,0.676454828805199
0.137916666666667,12,0.576060874953991
0.145208333333333,8,0.56887776970716
0.145208333333333,8.5,0.738240638750711
0.145208333333333,9,0.851048775793213
0.145208333333333,9.5,0.884961766234974
0.145208333333333,10,0.867404717375981
0.145208333333333,10.5,0.814915125530083
0.145208333333333,11,0.739447539577642
0.145208333333333,11.25,0.695322319600686
0.145208333333333,11.5,0.647745956325818
0.145208333333333,12,0.544314954995326
0.1525,8,0.564004351029041
0.1525,8.5,0.740392455252504
0.1525,9.5,0.880007571954215
0.1525,10,0.855554590198228
0.1525,10.5,0.797001238701872
0.1525,11,0.716494537081035
0.1525,12,0.514651375957494
0.159791666666667,8,0.537945482739224
0.159791666666667,8.24489795918367,0.353424191323345
0.159791666666667,8.5,0.741880294340084
0.159791666666667,9,0.852114326570074
0.159791666666667,9.5,0.873515852736052
0.159791666666667,10,0.842466256734074
0.159791666666667,10.5,0.778027815596267
0.159791666666667,11,0.692649340284708
0.159791666666667,11.25,0.644369740166118
0.159791666666667,11.5,0.593247111411699
0.159791666666667,12,0.485002447593665
0.167083333333333,8,0.514675981365458
0.167083333333333,8.5,0.741225829851123
0.167083333333333,9,0.850981346606855
0.167083333333333,9.5,0.866061081352273
0.167083333333333,10,0.828438589155913
0.167083333333333,10.5,0.758472336898096
0.167083333333333,11,0.668821190672366
0.167083333333333,11.25,0.618888599865244
0.167083333333333,11.5,0.566469779236041
0.167083333333333,12,0.456920927649689
0.174375,8,0.456517044641678
0.174375,8.5,0.739043004669884
0.174375,9,0.849167048109334
0.174375,9.5,0.85897311988735
0.174375,10,0.815367416306525
0.174375,10.5,0.740218488610598
0.174375,11,0.646550027102483
0.174375,11.25,0.595110637368364
0.174375,11.5,0.541583388936636
0.174375,12,0.431310559797101
0.181666666666667,8,0.387797725546501
0.181666666666667,8.5,0.738287163311541
0.181666666666667,9,0.846595259915632
0.181666666666667,9.5,0.850693679428191
0.181666666666667,10,0.801064632109369
0.181666666666667,10.5,0.720947519993158
0.181666666666667,11,0.623645892576026
0.181666666666667,11.25,0.570934213676802
0.181666666666667,11.5,0.516551644412204
0.181666666666667,12,0.406092597993491
0.188958333333333,8,0.376747603282453
0.188958333333333,8.5,0.734907771603837
0.188958333333333,9,0.845205456820592
0.188958333333333,9.5,0.842719570627856
0.188958333333333,10,0.786625206501188
0.188958333333333,10.5,0.701577155365289
0.188958333333333,11,0.600975911818833
0.188958333333333,11.25,0.547226065256147
0.188958333333333,11.5,0.492250008788542
0.188958333333333,12,0.382172441914201
0.19625,8,0.191318914810306
0.19625,8.5,0.744455110208159
0.19625,9,0.841193990976819
0.19625,9.5,0.832691991097577
0.19625,10,0.771047190817551
0.19625,10.5,0.681647445552884
0.19625,11,0.578158707750601
0.19625,11.25,0.523591758138943
0.19625,11.5,0.468288521415841
0.19625,12,0.359319733065646
0.203541666666667,8,0.157475248771696
0.203541666666667,8.5,0.741304934292033
0.203541666666667,9,0.837030104319846
0.203541666666667,9.5,0.823180009516871
0.203541666666667,10,0.756077146053422
0.203541666666667,10.5,0.662554206948593
0.203541666666667,11,0.556548311414521
0.203541666666667,11.25,0.501377938082193
0.203541666666667,11.5,0.44596598831993
0.203541666666667,12,0.338520871772242
0.210833333333333,8,0.157812648635886
0.210833333333333,8.5,0.742537901717664
0.210833333333333,9,0.833721969352972
0.210833333333333,9.5,0.813502577713914
0.210833333333333,10,0.740818027529345
0.210833333333333,10.5,0.643423300000991
0.210833333333333,11,0.535289681359342
0.210833333333333,11.25,0.479727607651608
0.210833333333333,11.5,0.424419415770356
0.210833333333333,12,0.318905259581674
0.218125,8,0.174401851432805
0.218125,8.5,0.740252500386453
0.218125,9,0.829995718016695
0.218125,9.5,0.804872615761917
0.218125,10,0.727289147675011
0.218125,10.5,0.626352948122103
0.218125,11,0.516322388543557
0.218125,11.25,0.460493890447028
0.218125,11.5,0.405434117461152
0.218125,12,0.302191370912141
0.225416666666667,8,0.182505893577592
0.225416666666667,8.5,0.737461621146853
0.225416666666667,9,0.825464338421609
0.225416666666667,9.5,0.79516534676166
0.225416666666667,10,0.713006817806455
0.225416666666667,10.5,0.609082004193173
0.225416666666667,11,0.497705262372272
0.225416666666667,11.25,0.441842656614768
0.225416666666667,11.5,0.387217755879445
0.225416666666667,12,0.286451067676108
0.232708333333333,8,0.227744165731226
0.232708333333333,8.5,0.737534949998354
0.232708333333333,9,0.820893040385525
0.232708333333333,9.5,0.785897702871829
0.232708333333333,10,0.69973521218751
0.232708333333333,10.5,0.593300082890596
0.232708333333333,11,0.480989022351835
0.232708333333333,11.25,0.425280357273722
0.232708333333333,11.5,0.371264287298581
0.232708333333333,12,0.273241217891301
0.24,8,0.305298182685376
0.24,8.24489795918367,0.604466448880308
0.24,8.5,0.743008129024783
0.24,9,0.816301876348253
0.24,9.5,0.775193698809637
0.24,10,0.684521323580088
0.24,10.5,0.575412747832041
0.24,11,0.462225004797106
0.24,11.25,0.406779026642841
0.24,11.5,0.353537402498342
0.24,12,0.258777590929368
