"lumped_element_capacitance [pF]","Freq [GHz]","TotalEfficiency []"
0.065,8,0.0080032949759741
0.065,8.5,0.0123849670933655
0.065,9,0.0199365644577631
0.065,9.5,0.0513589962352779
0.065,10,0.16669450924477
0.065,10.5,0.47408607449947
0.065,11,0.226824147987188
0.065,11.25,0.13616585756005
0.065,11.5,0.0881309256849159
0.065,12,0.0443868011349308
0.0722916666666667,8,0.0081084361987067
0.0722916666666667,8.5,0.0115000711913102
0.0722916666666667,9,0.0227990885603363
0.0722916666666667,9.5,0.0614847738965492
0.0722916666666667,10,0.217048639000393
0.0722916666666667,10.5,0.45753905850932
0.0722916666666667,11,0.169524407911303
0.0722916666666667,11.25,0.104327792319471
0.0722916666666667,11.5,0.0694329926069447
0.0722916666666667,12,0.03633358945429
0.0795833333333333,8,0.00822441377633371
0.0795833333333333,8.5,0.0121992891847959
0.0795833333333333,9,0.0263042916011046
0.0795833333333333,9.5,0.074705390113045
0.0795833333333333,10,0.282557738135742
0.0795833333333333,10.5,0.388981666670121
0.0795833333333333,11,0.130289840383974
0.0795833333333333,11.25,0.0826129541215509
0.0795833333333333,11.5,0.0563832506195352
0.0795833333333333,12,0.0304519831906697
0.086875,8,0.00836903204685178
0.086875,8.5,0.0129888281366316
0.086875,9,0.0300564020265931
0.086875,9.5,0.0910028428583169
0.086875,10,0.359483673910313
0.086875,10.5,0.303906014975368
0.086875,11,0.100583373436884
0.086875,11.25,0.0656197868607
0.086875,11.5,0.0457803307352111
0.086875,12,0.0253961027341975
0.0941666666666667,8,0.0085287038478656
0.0941666666666667,8.5,0.0139834621058949
0.0941666666666667,9,0.0346100002124585
0.0941666666666667,9.5,0.111634030662452
0.0941666666666667,10,0.427990600110159
0.0941666666666667,10.5,0.235017252983924
0.0941666666666667,11,0.0807173737912239
0.0941666666666667,11.25,0.0539736920447086
0.0941666666666667,11.5,0.0383345126229904
0.0941666666666667,12,0.0217115671494875
0.101458333333333,8,0.0087132882139499
0.101458333333333,8.5,0.0155738876858648
0.101458333333333,9,0.0397987667744742
0.101458333333333,9.5,0.138391167588186
0.101458333333333,10,0.463515412810473
0.101458333333333,10.5,0.180329790683063
0.101458333333333,11,0.0653908074260447
0.101458333333333,11.25,0.0447008786252297
0.101458333333333,11.5,0.032245986530947
0.10875,8,0.00893414581632603
0.10875,8.5,0.0172322140040123
0.10875,9,0.0458058222624128
0.10875,9.5,0.172333895155763
0.10875,10,0.446619076302222
0.10875,10.5,0.140169307617921
0.10875,11,0.0536983437758448
0.10875,11.25,0.0373879033794122
0.10875,11.5,0.0273132169284044
0.10875,12,0.0159561121965793
0.116041666666667,8,0.00922227534593335
0.116041666666667,8.5,0.018928378428528
0.116041666666667,9,0.0522447251101455
0.116041666666667,9.5,0.212879025198219
0.116041666666667,10,0.389237673952076
0.116041666666667,10.5,0.11126580820002
0.116041666666667,11,0.0448244788150496
0.116041666666667,11.25,0.0316811831962715
0.116041666666667,11.5,0.0233761894057175
0.116041666666667,12,0.0137878085573543
0.123333333333333,8,0.00962171384141853
0.123333333333333,8.5,0.0207584465384557
0.123333333333333,9,0.0602003982379613
0.123333333333333,9.5,0.265442170973629
0.123333333333333,10,0.317716623754502
0.123333333333333,10.5,0.0893574447646719
0.123333333333333,11,0.0377584422916057
0.123333333333333,11.25,0.0270563104941319
0.123333333333333,11.5,0.0201480803642801
0.123333333333333,12,0.0119906767665809
0.130625,8,0.0101185196941415
0.130625,8.5,0.0225331130652886
0.130625,9,0.0693086925846331
0.130625,9.5,0.324851578239816
0.130625,10,0.251457168905441
0.130625,10.5,0.0727921282218988
0.130625,11,0.0320476284045753
0.130625,11.25,0.0232220534463525
0.130625,11.5,0.0174167229968629
0.130625,12,0.010425726845546
0.137916666666667,8,0.010743527865265
0.137916666666667,8.5,0.0243793010542699
0.137916666666667,9,0.0804401204916006
0.137916666666667,9.5,0.386578003174802
0.137916666666667,10,0.197050523883264
0.137916666666667,10.5,0.0600374501205975
0.137916666666667,11,0.0274452015142344
0.137916666666667,11.25,0.0200926197589487
0.137916666666667,11.5,0.0151711669594684
0.137916666666667,12,0.00913552471597157
0.145208333333333,8,0.0115060532415429
0.145208333333333,8.5,0.0259272922742374
0.145208333333333,9,0.0921451024900566
0.145208333333333,9.5,0.428246445010068
0.145208333333333,10,0.15759609739078
0.145208333333333,10.5,0.050613825970198
0.145208333333333,11,0.0238387775267911
0.145208333333333,11.25,0.0175896382661238
0.145208333333333,11.5,0.0133457416158289
0.145208333333333,12,0.00806275618397483
0.1525,8,0.0125074641831574
0.1525,8.5,0.0275486415330233
0.1525,9.5,0.443567109174963
0.1525,10,0.128088053412968
0.1525,10.5,0.0433207864097022
0.1525,11,0.0209361538164706
0.1525,12,0.00716974254835307
0.159791666666667,8,0.0142240276633366
0.159791666666667,8.24489795918367,0.0170893360939417
0.159791666666667,8.5,0.0289088999382384
0.159791666666667,9,0.121148329489867
0.159791666666667,9.5,0.427389520875171
0.159791666666667,10,0.105556951246095
0.159791666666667,10.5,0.0373632873561959
0.159791666666667,11,0.0184423713908805
0.159791666666667,11.25,0.013768981865965
0.159791666666667,11.5,0.0105185237187371
0.159791666666667,12,0.00637431567999673
0.167083333333333,8,0.0162552066228838
0.167083333333333,8.5,0.0305859110278509
0.167083333333333,9,0.140230321069249
0.167083333333333,9.5,0.385666603360657
0.167083333333333,10,0.0877301717667711
0.167083333333333,10.5,0.032474890282856
0.167083333333333,11,0.0163546799135604
0.167083333333333,11.25,0.012271606314042
0.167083333333333,11.5,0.0094013504697608
0.167083333333333,12,0.00570324968601645
0.174375,8,0.0208390207282179
0.174375,8.5,0.0315964898581989
0.174375,9,0.157815239590616
0.174375,9.5,0.339985634648273
0.174375,10,0.075158275860418
0.174375,10.5,0.0287506689030266
0.174375,11,0.0146822774526218
0.174375,11.25,0.0110518188920432
0.174375,11.5,0.00848034021547791
0.174375,12,0.00514507142244292
0.181666666666667,8,0.0287246818061432
0.181666666666667,8.5,0.0330356120333553
0.181666666666667,9,0.180079860036635
0.181666666666667,9.5,0.289994498257236
0.181666666666667,10,0.0644276406752731
0.181666666666667,10.5,0.0254666390308754
0.181666666666667,11,0.0131855353640941
0.181666666666667,11.25,0.00995641054630029
0.181666666666667,11.5,0.00765160359265124
0.181666666666667,12,0.00464222610084289
0.188958333333333,8,0.0352483924498497
0.188958333333333,8.5,0.0347380972067143
0.188958333333333,9,0.21036990820745
0.188958333333333,9.5,0.239989906314593
0.188958333333333,10,0.0551868369773708
0.188958333333333,10.5,0.0225785390224268
0.188958333333333,11,0.0118619702152094
0.188958333333333,11.25,0.00898811236937629
0.188958333333333,11.5,0.00692024537263605
0.188958333333333,12,0.00420151510987591
0.19625,8,0.047122535373883
0.19625,8.5,0.0372229569095764
0.19625,9,0.239402051241298
0.19625,9.5,0.202425441257492
0.19625,10,0.0482530361387893
0.19625,10.5,0.020227189648349
0.19625,11,0.0107281907326984
0.19625,11.25,0.00814502590803257
0.19625,11.5,0.00627658695305747
0.19625,12,0.00381208072499374
0.203541666666667,8,0.0185224571044163
0.203541666666667,8.5,0.0384775567618439
0.203541666666667,9,0.268284692266213
0.203541666666667,9.5,0.171904081645574
0.203541666666667,10,0.0425738868179532
0.203541666666667,10.5,0.0182397825435437
0.203541666666667,11,0.00975843850235135
0.203541666666667,11.25,0.00742230893850078
0.203541666666667,11.5,0.00572453536012891
0.203541666666667,12,0.00347963394281564
0.210833333333333,8,0.0111507247380837
0.210833333333333,8.5,0.0407651495390805
0.210833333333333,9,0.305176453829676
0.210833333333333,9.5,0.144567721178548
0.210833333333333,10,0.0375615978787575
0.210833333333333,10.5,0.0164654484893759
0.210833333333333,11,0.00889031085563356
0.210833333333333,11.25,0.00677558074125982
0.210833333333333,11.5,0.00523119109832612
0.210833333333333,12,0.00318465999392377
0.218125,8,0.00818941229758374
0.218125,8.5,0.0416716419530952
0.218125,9,0.329820390735341
0.218125,9.5,0.126942517683014
0.218125,10,0.0339928135624804
0.218125,10.5,0.0151086171512314
0.218125,11,0.00819877751741249
0.218125,11.25,0.00625417108626749
0.218125,11.5,0.00483076746874866
0.218125,12,0.00294661168853419
0.225416666666667,8,0.00748565353288518
0.225416666666667,8.5,0.0432100148385041
0.225416666666667,9,0.3571819306042
0.225416666666667,9.5,0.110855331899846
0.225416666666667,10,0.0307683853441158
0.225416666666667,10.5,0.0138849936605503
0.225416666666667,11,0.00757811728772013
0.225416666666667,11.25,0.00578731867234172
0.225416666666667,11.5,0.00447300179242143
0.225416666666667,12,0.0027348813613797
0.232708333333333,8,0.00709668588440506
0.232708333333333,8.5,0.0449522231877287
0.232708333333333,9,0.378403352023436
0.232708333333333,9.5,0.098546992448736
0.232708333333333,10,0.028197782798512
0.232708333333333,10.5,0.0128847974843451
0.232708333333333,11,0.0070659991133075
0.232708333333333,11.25,0.00540213346242862
0.232708333333333,11.5,0.00417889659323479
0.232708333333333,12,0.00256486289128071
0.24,8,0.00772222792550823
0.24,8.24489795918367,0.0192577266364523
0.24,8.5,0.0482724116301411
0.24,9,0.398609745468843
0.24,9.5,0.0861479815334085
0.24,10,0.0255413290891476
0.24,10.5,0.0118300415041419
0.24,11,0.00651920478127295
0.24,11.25,0.00498913593828677
0.24,11.5,0.0038625796144486
0.24,12,0.00238165927580204
