"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,10,66.36522060313
0.0722916666666667,10,58.9676542661027
0.0795833333333333,10,49.8172797545106
0.086875,10,38.4321078026366
0.0941666666666667,10,25.4495664131971
0.101458333333333,10,10.6282756014041
0.10875,10,-4.19407730591166
0.116041666666667,10,-17.2451736995953
0.123333333333333,10,-28.7388170743062
0.130625,10,-38.0170758533329
0.137916666666667,10,-45.6595877683989
0.145208333333333,10,-51.4461471411368
0.1525,10,-56.213388650506
0.159791666666667,10,-60.18162678371
0.167083333333333,10,-63.6428475626496
0.174375,10,-66.4437101347474
0.181666666666667,10,-69.0088788678571
0.188958333333333,10,-71.4518704279657
0.19625,10,-73.5037835169113
0.203541666666667,10,-75.3489247032176
0.210833333333333,10,-77.145079540951
0.218125,10,-78.6188413116625
0.225416666666667,10,-80.0140675697359
0.232708333333333,10,-81.3003418955792
0.24,10,-82.6786834778632
