"lumped_element_capacitance [pF]","Freq [GHz]","RadiatedPower []"
0.065,9.5,0.0513589960889847
0.0722916666666667,9.5,0.0614847737214028
0.0795833333333333,9.5,0.0747053899002542
0.086875,9.5,0.0910028425990943
0.0941666666666667,9.5,0.111634030344475
0.101458333333333,9.5,0.138391167193979
0.10875,9.5,0.172333894664861
0.116041666666667,9.5,0.212879024591866
0.123333333333333,9.5,0.265442170217731
0.130625,9.5,0.324851577314756
0.137916666666667,9.5,0.386578002073852
0.145208333333333,9.5,0.428246443790216
0.1525,9.5,0.443567107910583
0.159791666666667,9.5,0.427389519657775
0.167083333333333,9.5,0.385666602262232
0.174375,9.5,0.339985633680207
0.181666666666667,9.5,0.289994497432166
0.188958333333333,9.5,0.23998990563131
0.19625,9.5,0.202425440681162
0.203541666666667,9.5,0.171904081156069
0.210833333333333,9.5,0.144567720766724
0.218125,9.5,0.1269425173215
0.225416666666667,9.5,0.110855331584175
0.232708333333333,9.5,0.0985469921681135
0.24,9.5,0.086147981288081
