"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(2,1)) []"
0.065,9.5,-0.364363045711462
0.0722916666666667,9.5,-0.442464231999487
0.0795833333333333,9.5,-0.547145852093582
0.086875,9.5,-0.680239423510932
0.0941666666666667,9.5,-0.855664287436006
0.101458333333333,9.5,-1.09703467156698
0.10875,9.5,-1.42466902480287
0.116041666666667,9.5,-1.86394364063411
0.123333333333333,9.5,-2.49876438301668
0.130625,9.5,-3.365920054475
0.137916666666667,9.5,-4.49827538869804
0.145208333333333,9.5,-5.54599431126274
0.1525,9.5,-6.05087718806379
0.159791666666667,9.5,-5.68134165610804
0.167083333333333,9.5,-4.72590010984765
0.174375,9.5,-3.86118722022885
0.181666666666667,9.5,-3.06132931981756
0.188958333333333,9.5,-2.37388274413319
0.19625,9.5,-1.92524959881074
0.203541666666667,9.5,-1.58848264050734
0.210833333333333,9.5,-1.30380096315625
0.218125,9.5,-1.13057118404494
0.225416666666667,9.5,-0.977322766770803
0.232708333333333,9.5,-0.86390027318851
0.24,9.5,-0.751184062096492
