"lumped_element_capacitance [pF]","Freq [GHz]","TotalEfficiency []"
0.065,9.5,0.0513589962352781
0.0722916666666667,9.5,0.0614847738965493
0.0795833333333333,9.5,0.0747053901130448
0.086875,9.5,0.0910028428583167
0.0941666666666667,9.5,0.111634030662452
0.101458333333333,9.5,0.138391167588186
0.10875,9.5,0.172333895155763
0.116041666666667,9.5,0.212879025198217
0.123333333333333,9.5,0.265442170973629
0.130625,9.5,0.324851578239815
0.137916666666667,9.5,0.386578003174769
0.145208333333333,9.5,0.428246445009983
0.1525,9.5,0.443567109173884
0.159791666666667,9.5,0.427389520875172
0.167083333333333,9.5,0.385666603360743
0.174375,9.5,0.339985634648273
0.181666666666667,9.5,0.289994498257866
0.188958333333333,9.5,0.239989906314593
0.19625,9.5,0.202425441257481
0.203541666666667,9.5,0.171904081645577
0.210833333333333,9.5,0.144567721178548
0.218125,9.5,0.126942517683014
0.225416666666667,9.5,0.110855331899846
0.232708333333333,9.5,0.0985469924487305
0.24,9.5,0.0861479815334085
