"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1+S(1,1)) []"
0.065,9.5,-0.0242056074472336
0.0722916666666667,9.5,-0.0234384472609667
0.0795833333333333,9.5,-0.0225696922126924
0.086875,9.5,-0.0212777803158837
0.0941666666666667,9.5,-0.0199313764490494
0.101458333333333,9.5,-0.0179591479918282
0.10875,9.5,-0.015622770715339
0.116041666666667,9.5,-0.0128261962840543
0.123333333333333,9.5,-0.00961955904358092
0.130625,9.5,-0.00627278610458082
0.137916666666667,9.5,-0.00319150976858401
0.145208333333333,9.5,-0.00141780396768559
0.1525,9.5,-0.00155194796987879
0.159791666666667,9.5,-0.00357498502933123
0.167083333333333,9.5,-0.00694560225367491
0.174375,9.5,-0.010442204045771
0.181666666666667,9.5,-0.013852808654555
0.188958333333333,9.5,-0.0168298210129799
0.19625,9.5,-0.0193358742049644
0.203541666666667,9.5,-0.0210280241619074
0.210833333333333,9.5,-0.0224730845859366
0.218125,9.5,-0.023638885288236
0.225416666666667,9.5,-0.0244462129851198
0.232708333333333,9.5,-0.0253755637863802
0.24,9.5,-0.0261641908224688
