"lumped_element_capacitance [pF]","Freq [GHz]","RadiatedPower []"
0.065,9.75,0.0891377849312999
0.0722916666666667,9.75,0.111216163710757
0.0795833333333333,9.75,0.141047474773467
0.086875,9.75,0.180114502289619
0.0941666666666667,9.75,0.229547979579594
0.101458333333333,9.75,0.291770292722656
0.10875,9.75,0.360819558285154
0.116041666666667,9.75,0.419283526574993
0.123333333333333,9.75,0.45326324738952
0.130625,9.75,0.441857484391629
0.137916666666667,9.75,0.392344844995273
0.145208333333333,9.75,0.3300312255373
0.1525,9.75,0.270841550205624
0.159791666666667,9.75,0.220963220247379
0.167083333333333,9.75,0.179405552058063
0.174375,9.75,0.150399443595675
0.181666666666667,9.75,0.125704272536864
0.188958333333333,9.75,0.104562123393216
0.19625,9.75,0.0894295912291525
0.203541666666667,9.75,0.0773435630237052
0.210833333333333,9.75,0.0667712167076293
0.218125,9.75,0.0596263350925659
0.225416666666667,9.75,0.0531758197085841
0.232708333333333,9.75,0.048139882586898
0.24,9.75,0.0430090704251244
