"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(2,1)) []"
0.065,9.75,0.92880858658776
0.0722916666666667,9.75,0.909769600167572
0.0795833333333333,9.75,0.883239935604632
0.086875,9.75,0.847099804011583
0.0941666666666667,9.75,0.798685759248808
0.101458333333333,9.75,0.732396839943568
0.10875,9.75,0.650309161913479
0.116041666666667,9.75,0.567675908496414
0.123333333333333,9.75,0.512826086844387
0.130625,9.75,0.525238056530749
0.137916666666667,9.75,0.59451582148621
0.145208333333333,9.75,0.671463369846836
0.1525,9.75,0.739015636026183
0.159791666666667,9.75,0.791661920225688
0.167083333333333,9.75,0.833389974575809
0.174375,9.75,0.861295621452035
0.181666666666667,9.75,0.884620256821454
0.188958333333333,9.75,0.904375818752051
0.19625,9.75,0.918056028104402
0.203541666666667,9.75,0.928946915179013
0.210833333333333,9.75,0.938494004680984
0.218125,9.75,0.944843506190473
0.225416666666667,9.75,0.950572119326686
0.232708333333333,9.75,0.955002141881928
0.24,9.75,0.959555228447039
