"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(1,1)) []"
0.065,9.75,-13.7120148058813
0.0722916666666667,9.75,-12.6964831625128
0.0795833333333333,9.75,-11.6049538026138
0.086875,9.75,-10.4981004615432
0.0941666666666667,9.75,-9.38915495799806
0.101458333333333,9.75,-8.29843238295617
0.10875,9.75,-7.32646607216343
0.116041666666667,9.75,-6.6136769997352
0.123333333333333,9.75,-6.23802929582928
0.130625,9.75,-6.30630618878709
0.137916666666667,9.75,-6.79419793135525
0.145208333333333,9.75,-7.4989488684395
0.1525,9.75,-8.32488943579624
0.159791666666667,9.75,-9.17238481712352
0.167083333333333,9.75,-10.0477274526231
0.174375,9.75,-10.773815072126
0.181666666666667,9.75,-11.5263156617964
0.188958333333333,9.75,-12.3031698437054
0.19625,9.75,-12.9490676719131
0.203541666666667,9.75,-13.5504484342316
0.210833333333333,9.75,-14.1643172981322
0.218125,9.75,-14.6286003029714
0.225416666666667,9.75,-15.1019143447271
0.232708333333333,9.75,-15.5058989318733
0.24,9.75,-15.9699637753459
