"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1+S(1,1)) []"
0.065,9.75,0.0122452599236273
0.0722916666666667,9.75,0.0146969951334495
0.0795833333333333,9.75,0.0177156185113605
0.086875,9.75,0.021038695648777
0.0941666666666667,9.75,0.0247528824616755
0.101458333333333,9.75,0.02829194539575
0.10875,9.75,0.0306705725087732
0.116041666666667,9.75,0.0305292302047155
0.123333333333333,9.75,0.0269762932969975
0.130625,9.75,0.0202823426451425
0.137916666666667,9.75,0.0122769142566074
0.145208333333333,9.75,0.00542235839855087
0.1525,9.75,0.000195926317369588
0.159791666666667,9.75,-0.00330909026543946
0.167083333333333,9.75,-0.00566315029897249
0.174375,9.75,-0.00726432170548857
0.181666666666667,9.75,-0.0082369638868553
0.188958333333333,9.75,-0.00871768962350464
0.19625,9.75,-0.00918306430542945
0.203541666666667,9.75,-0.00936127999301667
0.210833333333333,9.75,-0.00938825136002752
0.218125,9.75,-0.00949338997156346
0.225416666666667,9.75,-0.00948026422265399
0.232708333333333,9.75,-0.00949740929469658
0.24,9.75,-0.00948671082831443
