"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1-S(1,1)) []"
0.065,9.75,-0.386440532535237
0.0722916666666667,9.75,-0.423032819879043
0.0795833333333333,9.75,-0.460991783675531
0.086875,9.75,-0.493285564068654
0.0941666666666667,9.75,-0.512401807091111
0.101458333333333,9.75,-0.500965818096666
0.10875,9.75,-0.436879546265633
0.116041666666667,9.75,-0.3043328100018
0.123333333333333,9.75,-0.098978396030084
0.130625,9.75,0.125740933767519
0.137916666666667,9.75,0.313862466512756
0.145208333333333,9.75,0.422917558989752
0.1525,9.75,0.475669670119708
0.159791666666667,9.75,0.491075623329033
0.167083333333333,9.75,0.484715893580851
0.174375,9.75,0.470585047512358
0.181666666666667,9.75,0.449780087883353
0.188958333333333,9.75,0.425114332961514
0.19625,9.75,0.403351332117893
0.203541666666667,9.75,0.382649130463059
0.210833333333333,9.75,0.361533279569372
0.218125,9.75,0.345783455923583
0.225416666666667,9.75,0.329915175380507
0.232708333333333,9.75,0.316727022067667
0.24,9.75,0.301808913948053
