"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1+S(1,1)) []"
0.065,9.75,-0.0372921251581485
0.0722916666666667,9.75,-0.0369842028964965
0.0795833333333333,9.75,-0.0363284701080879
0.086875,9.75,-0.0347124001261336
0.0941666666666667,9.75,-0.0321531414767065
0.101458333333333,9.75,-0.0276130460557848
0.10875,9.75,-0.0210749960434482
0.116041666666667,9.75,-0.0131259844489668
0.123333333333333,9.75,-0.00488379959040097
0.130625,9.75,0.00107778251445423
0.137916666666667,9.75,0.0035366438220566
0.145208333333333,9.75,0.00285501644005959
0.1525,9.75,0.000575597090809565
0.159791666666667,9.75,-0.00211739921915283
0.167083333333333,9.75,-0.00482362380251272
0.174375,9.75,-0.00736587656123691
0.181666666666667,9.75,-0.00949812616079027
0.188958333333333,9.75,-0.011338844511865
0.19625,9.75,-0.0129943097436053
0.203541666666667,9.75,-0.0142703560140617
0.210833333333333,9.75,-0.0154258355114073
0.218125,9.75,-0.0164733932501159
0.225416666666667,9.75,-0.0172887654583585
0.232708333333333,9.75,-0.0181909483848955
0.24,9.75,-0.018977664323361
