"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1-S(1,1)) []"
0.065,9.75,-0.143169620220165
0.0722916666666667,9.75,-0.189887275031404
0.0795833333333333,9.75,-0.253713233094927
0.086875,9.75,-0.33823652289642
0.0941666666666667,9.75,-0.446730724095966
0.101458333333333,9.75,-0.58595270209409
0.10875,9.75,-0.743367520909386
0.116041666666667,9.75,-0.885032217451497
0.123333333333333,9.75,-0.971994468358853
0.130625,9.75,-0.960800287391876
0.137916666666667,9.75,-0.860107873718265
0.145208333333333,9.75,-0.730071789273684
0.1525,9.75,-0.601244194137127
0.159791666666667,9.75,-0.491563181479345
0.167083333333333,9.75,-0.398722847889201
0.174375,9.75,-0.333521560901917
0.181666666666667,9.75,-0.277244256092586
0.188958333333333,9.75,-0.228491754097858
0.19625,9.75,-0.193701795316933
0.203541666666667,9.75,-0.165722593017762
0.210833333333333,9.75,-0.140915338567689
0.218125,9.75,-0.12400355061339
0.225416666666667,9.75,-0.108765962161423
0.232708333333333,9.75,-0.0966760777823165
0.24,9.75,-0.0843060481619724
