lumped_element_capacitance [pF],Freq [GHz],"mag(S(1,1)) []"
0.065,9.5,0.158785325
0.065,9.75,0.206252518
0.065,10,0.276899015
0.072291667,9.5,0.175040559
0.072291667,9.75,0.231833313
0.072291667,10,0.317728509
0.079583333,9.5,0.19447497
0.079583333,9.75,0.262876831
0.079583333,10,0.36479142
0.086875,9.5,0.215913179
0.086875,9.75,0.298603557
0.086875,10,0.413440594
0.094166667,9.5,0.240861664
0.094166667,9.75,0.339267495
0.094166667,10,0.453832897
0.101458333,9.5,0.269846474
0.101458333,9.75,0.384661199
0.101458333,10,0.474835535
0.10875,9.5,0.302983592
0.10875,9.75,0.430206231
0.10875,10,0.468677405
0.116041667,9.5,0.339169856
0.116041667,9.75,0.466999214
0.116041667,10,0.440594869
0.123333333,9.5,0.38043358
0.123333333,9.75,0.487639116
0.123333333,10,0.399761845
0.130625,9.5,0.422921969
0.130625,9.75,0.483820973
0.130625,10,0.357426482
0.137916667,9.5,0.462878366
0.137916667,9.75,0.457393621
0.137916667,10,0.317462719
0.145208333,9.5,0.489775337
0.145208333,9.75,0.421747539
0.145208333,10,0.28546244
0.1525,9.5,0.500240838
0.1525,9.75,0.383491311
0.1525,10,0.258383633
0.159791667,9.5,0.492976629
0.159791667,9.75,0.347840991
0.159791667,10,0.235621525
0.167083333,9.5,0.469763106
0.167083333,9.75,0.314494915
0.167083333,10,0.21560489
0.174375,9.5,0.442957925
0.174375,9.75,0.289273897
0.174375,10,0.20054305
0.181666667,9.5,0.410203768
0.181666667,9.75,0.265267605
0.181666667,10,0.186316071
0.188958333,9.5,0.37403163
0.188958333,9.75,0.242572469
0.188958333,10,0.172958596
0.19625,9.5,0.344652589
0.19625,9.75,0.225188712
0.19625,10,0.162431106
0.203541667,9.5,0.318535801
0.203541667,9.75,0.210124928
0.203541667,10,0.153163041
0.210833333,9.5,0.292820329
0.210833333,9.75,0.195787128
0.210833333,10,0.1443366
0.218125,9.5,0.275126937
0.218125,9.75,0.185596587
0.218125,10,0.137808647
0.225416667,9.5,0.257694954
0.225416667,9.75,0.175753622
0.225416667,10,0.131539338
0.232708333,9.5,0.243650199
0.232708333,9.75,0.167766426
0.232708333,10,0.126393716
0.24,9.5,0.228361733
0.24,9.75,0.159038332
0.24,10,0.120712482
