lumped_element_capacitance [pF],Freq [GHz],"ang_deg(S(1,1)) [deg]"
0.065,9.5,79.49847397
0.065,9.75,75.12746175
0.065,10,66.3652206
0.072291667,9.5,76.56109668
0.072291667,9.75,70.74521948
0.072291667,10,58.96765427
0.079583333,9.5,73.27301579
0.079583333,9.75,65.57683083
0.079583333,10,49.81727975
0.086875,9.5,69.65567421
0.086875,9.75,59.45337891
0.086875,10,38.4321078
0.094166667,9.5,65.69578445
0.094166667,9.75,52.33893361
0.094166667,10,25.44956641
0.101458333,9.5,61.00192177
0.101458333,9.75,43.46830021
0.101458333,10,10.6282756
0.10875,9.5,55.64092773
0.10875,9.75,32.91555051
0.10875,10,-4.194077306
0.116041667,9.5,49.51823863
0.116041667,9.75,21.00965548
0.116041667,10,-17.2451737
0.123333333,9.5,42.01841386
0.123333333,9.75,7.420329067
0.123333333,10,-28.73881707
0.130625,9.5,33.16226949
0.130625,9.75,-6.256816544
0.130625,10,-38.01707585
0.137916667,9.5,22.49300525
0.137916667,9.75,-19.24925406
0.137916667,10,-45.65958777
0.145208333,9.5,11.37651196
0.145208333,9.75,-29.66702496
0.145208333,10,-51.44614714
0.1525,9.5,-0.29310587
0.1525,9.75,-38.31085219
0.1525,10,-56.21338865
0.159791667,9.5,-11.40330194
0.159791667,9.75,-45.28762835
0.159791667,10,-60.18162678
0.167083333,9.5,-22.15396872
0.167083333,9.75,-51.22666786
0.167083333,10,-63.64284756
0.174375,9.5,-30.41951681
0.174375,9.75,-55.68454206
0.174375,10,-66.44371013
0.181666667,9.5,-38.09812698
0.181666667,9.75,-59.69043559
0.181666667,10,-69.00887887
0.188958333,9.5,-45.29408493
0.188958333,9.75,-63.40992475
0.188958333,10,-71.45187043
0.19625,9.5,-50.67076414
0.19625,9.75,-66.3445513
0.19625,10,-73.50378352
0.203541667,9.5,-55.12534288
0.203541667,9.75,-68.87608596
0.203541667,10,-75.3489247
0.210833333,9.5,-59.34616667
0.210833333,9.75,-71.30838632
0.210833333,10,-77.14507954
0.218125,9.5,-62.27313958
0.218125,9.75,-73.16073021
0.218125,10,-78.61884131
0.225416667,9.5,-65.05142308
0.225416667,9.75,-74.91553596
0.225416667,10,-80.01406757
0.232708333,9.5,-67.38923223
0.232708333,9.75,-76.4725079
0.232708333,10,-81.3003419
0.24,9.5,-69.8974091
0.24,9.75,-78.14792415
0.24,10,-82.67868348
